id,err_sentence,cor_sentence,ground_truth
grm2206240002162,그래도 둘다 맞아서 기분조타,그래도 둘 다 맞아서 기분 좋다.,그래도 둘 다 맞아서 기분 좋다!
grm2208310052506,예술가 정신을 갖추신분들이 기생을 햇다고하셨는데 오늘날로 치면 어떤사람인가요?,"예술가 정신을 갖추신 분들이 기생을 했다고 하셨는데, 오늘날로 치면 어떤 사람인가요?",예술가 정신을 갖추신 분들이 기생을 했다고 하셨는데 오늘날로 치면 어떤 사람인가요?
grm2207210026167,저믄날들 쪼금만 더 힘내면 꼭 조은결과있을꺼예요,다음날들 조금만 더 힘내면 꼭 좋은 결과 있을 거예요.,남은 날들 조금만 더 힘내면 꼭 좋은 결과 있을 거예요!
grm2206170076366,물논 점의 좌표를 이용하지않구 풀 방법은 없는거갗긴한데 무조건 축이나오면 점의 좌표를 이용하는건아닐수도있지앉나요?,"물론, 점의 좌표를 이용하지 않고 풀 방법은 없는 거 같긴 한데 무조건 축이 나오면 점의 좌표를 이용하는 건 아닐 수도 있지 않나요?",물론 점의 좌표를 이용하지 않고 풀 방법은 없는 거 같긴 한데 무조건 축이 나오면 점의 좌표를 이용하는 건 아닐 수도 있지 않나요?
grm2208300063461,선생님은 율령이라하시구 책에서는유학이라고하늕데 혼란스럽습니다.,선생님은 율령이라고 하시고 책에서는 유학이라고 하는데 혼란스럽습니다.,선생님은 율령이라 하시고 책에서는 유학이라고 하는데 혼란스럽습니다.
grm2207220015792,이제 집와서 노래 듣네요,이제 집 와서 노래 듣네요.,이제 집에 와서 노래 듣네요.
grm2207260034424,아르바이트해서모은 돈으로 사는 친구들정말 대단하다구생각해요,아르바이트 해서 모은 돈으로 사는 친구들 정말 대단하다고 생각해요.,아르바이트해서 모은 돈으로 사는 친구들 정말 대단하다고 생각해요.
grm2209010065705,요기문재가 당긴 후에 정지햇다고...,여기 문제가 걸린 후에 정지했다고...,여기 문제가 당긴 후에 정지했다고...
grm2207210002364,상산고 애들이 딴거에 비해 과학이 쫌 약점이더라고요,상산고 애들이 다른 거에 비해 과학이 좀 약점이더라고요.,상산고 애들이 딴 거에 비해 과학이 좀 약점이더라고요.
grm2208080041163,근데 선생님의 판서나 말하시는게 반대으로 설명을 하셔서 학습에 혼란이옵니다,그런데 선생님의 판서나 말씀하시는 게 반대로 설명을 하셔서 학습에 혼란이 옵니다.,근데 선생님의 판서나 말씀하시는 게 반대로 설명을 하셔서 학습에 혼란이옵니다.
grm2210190100899,나아침에 오자마자 잤는데 애들이 장난식으로 얼마나 많이 잤으면 얼굴이 부었냐고 하더라,나 아침에 오자마자 잤는데 애들이 장난식으로 얼마나 많이 잤으면 얼굴이 부었냐고 하더라.,"나 아침에 오자마자 잤는데, 애들이 장난식으로 얼마나 많이 잤으면 얼굴이 부었냐고 하더라."
grm2208040044560,복합적인 심리는정확히 무얼 뜻하나요?,복합적인 심리는 정확히 무얼 뜻하나요?,복합적인 심리는 정확히 무엇을 뜻하나요?
grm2207180036473,전선지를 먼저읽진않았어요.,선지지를 먼저 읽진 않았어요.,저는 선지를 먼저 읽진 않았어요.
grm2209160114265,저사람이 다시 또 그럴수도있고 이게 진짜 반성이 아닐수도 있지만 그렇다고 해서 그렇게 욕하지는 말아주세요,"저 사람이 다시 또 그럴 수도 있고, 이게 진짜 반성이 아닐 수도 있지만, 그렇다고 해서 그렇게 욕하지는 말아 주세요.",저 사람이 다시 또 그럴 수도 있고 이게 진짜 반성이 아닐 수도 있지만 그렇다고 해서 그렇게 욕하지는 말아 주세요.
grm2206170055981,글자체 해석을 잘못해서고런것같다.,글자체 해석을 잘못해서 그런 것 같다.,글 자체 해석을 잘못해서 그런 것 같다.
grm2210120115873,중학교떄 그런 내신 공부가 분명히 도움이 될 거니까요.,중학교 때 그런 내신 공부가 분명히 도움이 될 거니까요.,중학교 때 그런 내신 공부가 분명히 도움이 될 것이니까요.
grm2207220029611,극어는 어떻케라는부뷴이 굉장히 중요해요,국어는 어떻게라는 부분이 굉장히 중요해요.,국어는 어떻게라는 부분이 굉장히 중요해요!
grm2209190112656,여름에 하자는대 아픈가요?,여름에 하자는 데 아픈가요?,여름에 하자는데 아픈가요?
